,id_cryptopunk,bids,for_sale,attribute,amount,amount_dols,date,tipo,tr_type
0,14,1,1,Pilot Helmet,667.0,2190000.0,2021-09-14,Female,Offered
1,14,1,1,Pipe,667.0,2190000.0,2021-09-14,Female,Offered
2,14,1,1,Hot Lipstick,667.0,2190000.0,2021-09-14,Female,Offered
3,89,0,1,Choker,890.0,1590000.0,2021-03-16,Female,Offered
4,155,0,1,Clown Hair Green,850.0,3490000.0,2021-12-26,Male,Offered
5,155,0,1,Clown Nose,850.0,3490000.0,2021-12-26,Male,Offered
6,260,0,1,Purple Hair,450.0,1460000.0,2021-08-27,Male,Offered
7,260,0,1,3D Glasses,450.0,1460000.0,2021-08-27,Male,Offered
8,286,0,1,Goat,200.0,650250.0,2021-08-28,Male,Offered
9,286,0,1,Wild Hair,200.0,650250.0,2021-08-28,Male,Offered
10,300,0,1,Goat,84.69,206259.0,2022-01-25,Male,Offered
11,300,0,1,Headband,84.69,206259.0,2022-01-25,Male,Offered
12,309,0,1,Big Shades,0.0,0.0,2021-09-17,Male,Offered
13,309,0,1,Shaved Head,0.0,0.0,2021-09-17,Male,Offered
14,318,0,1,Cigarette,0.0,0.0,2021-10-29,Female,Offered
15,318,0,1,Bandana,0.0,0.0,2021-10-29,Female,Offered
16,318,0,1,Hot Lipstick,0.0,0.0,2021-10-29,Female,Offered
17,325,1,1,Police Cap,83.0,256052.0,2022-01-20,Male,Offered
18,325,1,1,Mustache,83.0,256052.0,2022-01-20,Male,Offered
19,325,1,1,Small Shades,83.0,256052.0,2022-01-20,Male,Offered
20,335,0,1,Clown Hair Green,114.99,280054.0,2022-01-25,Male,Offered
21,338,0,1,Messy Hair,250.0,806128.0,2021-08-28,Male,Offered
22,338,0,1,Small Shades,250.0,806128.0,2021-08-28,Male,Offered
23,339,0,1,Cap,0.0,0.0,2021-08-31,Female,Offered
24,339,0,1,Big Shades,0.0,0.0,2021-08-31,Female,Offered
25,339,0,1,Black Lipstick,0.0,0.0,2021-08-31,Female,Offered
26,339,0,1,Mole,0.0,0.0,2021-08-31,Female,Offered
27,339,0,1,Earring,0.0,0.0,2021-08-31,Female,Offered
28,341,0,1,Messy Hair,300.0,963672.0,2021-08-31,Female,Offered
29,341,0,1,Earring,300.0,963672.0,2021-08-31,Female,Offered
30,374,0,1,Bandana,602.0,1930000.0,2022-01-17,Female,Offered
31,374,0,1,Clown Eyes Blue,602.0,1930000.0,2022-01-17,Female,Offered
32,387,0,1,Gold Chain,189.0,468525.0,2022-01-25,Male,Offered
33,387,0,1,Cap Forward,189.0,468525.0,2022-01-25,Male,Offered
34,387,0,1,Pipe,189.0,468525.0,2022-01-25,Male,Offered
35,399,0,1,Purple Hair,119.9,504747.0,2021-11-22,Male,Offered
36,399,0,1,Small Shades,119.9,504747.0,2021-11-22,Male,Offered
37,422,0,1,Dark Hair,158.0,572938.0,2021-10-14,Female,Offered
38,422,0,1,Purple Eye Shadow,158.0,572938.0,2021-10-14,Female,Offered
39,422,0,1,Earring,158.0,572938.0,2021-10-14,Female,Offered
40,422,0,1,Purple Lipstick,158.0,572938.0,2021-10-14,Female,Offered
41,445,0,1,Purple Lipstick,225.0,869724.0,2022-01-04,Female,Offered
42,445,0,1,Pilot Helmet,225.0,869724.0,2022-01-04,Female,Offered
43,445,0,1,Pipe,225.0,869724.0,2022-01-04,Female,Offered
44,445,0,1,Earring,225.0,869724.0,2022-01-04,Female,Offered
45,446,0,1,Nerd Glasses,300.0,1080000.0,2021-10-06,Female,Offered
46,446,0,1,Cigarette,300.0,1080000.0,2021-10-06,Female,Offered
47,446,0,1,Straight Hair Blonde,300.0,1080000.0,2021-10-06,Female,Offered
48,447,0,1,Stringy Hair,94.69,232673.0,2022-01-24,Male,Offered
49,447,0,1,Big Shades,94.69,232673.0,2022-01-24,Male,Offered
50,457,0,1,Knitted Cap,144.95,353414.0,2022-01-25,Male,Offered
51,457,0,1,Chinstrap,144.95,353414.0,2022-01-25,Male,Offered
52,457,0,1,3D Glasses,144.95,353414.0,2022-01-25,Male,Offered
53,465,0,1,Hoodie,0.0,0.0,2021-08-01,Male,Offered
54,465,0,1,3D Glasses,0.0,0.0,2021-08-01,Male,Offered
55,465,0,1,Pipe,0.0,0.0,2021-08-01,Male,Offered
56,494,0,1,Front Beard Dark,145.0,416742.0,2021-09-28,Male,Offered
57,494,0,1,Stringy Hair,145.0,416742.0,2021-09-28,Male,Offered
58,507,0,1,Hot Lipstick,127.49,410464.0,2022-01-08,Female,Offered
59,507,0,1,Dark Hair,127.49,410464.0,2022-01-08,Female,Offered
60,509,0,1,Wild Hair,110.0,530336.0,2021-11-09,Female,Offered
61,509,0,1,Regular Shades,110.0,530336.0,2021-11-09,Female,Offered
62,512,0,1,Cigarette,342.69,1060000.0,2021-08-27,Male,Offered
63,512,0,1,Hoodie,342.69,1060000.0,2021-08-27,Male,Offered
64,526,0,1,Mole,110.0,273918.0,2022-01-26,Male,Offered
65,526,0,1,Vampire Hair,110.0,273918.0,2022-01-26,Male,Offered
66,538,0,1,Knitted Cap,300.0,1260000.0,2021-12-09,Female,Offered
67,538,0,1,Hot Lipstick,300.0,1260000.0,2021-12-09,Female,Offered
68,538,0,1,Green Eye Shadow,300.0,1260000.0,2021-12-09,Female,Offered
69,556,0,1,Messy Hair,245.0,923709.0,2021-10-14,Male,Offered
70,556,0,1,Shadow Beard,245.0,923709.0,2021-10-14,Male,Offered
71,563,0,1,Straight Hair Dark,750.0,2370000.0,2021-08-11,Female,Offered
72,563,0,1,Pipe,750.0,2370000.0,2021-08-11,Female,Offered
73,563,0,1,VR,750.0,2370000.0,2021-08-11,Female,Offered
74,563,0,1,Earring,750.0,2370000.0,2021-08-11,Female,Offered
75,578,0,1,Fedora,111.0,534156.0,2021-11-08,Male,Offered
76,578,0,1,Front Beard Dark,111.0,534156.0,2021-11-08,Male,Offered
77,586,0,1,Wild Hair,315.0,1010000.0,2021-08-29,Female,Offered
78,586,0,1,Purple Eye Shadow,315.0,1010000.0,2021-08-29,Female,Offered
79,588,0,1,Earring,242.42,969765.0,2021-10-27,Female,Offered
80,588,0,1,Tassle Hat,242.42,969765.0,2021-10-27,Female,Offered
81,588,0,1,Big Shades,242.42,969765.0,2021-10-27,Female,Offered
82,588,0,1,Black Lipstick,242.42,969765.0,2021-10-27,Female,Offered
83,588,0,1,Cigarette,242.42,969765.0,2021-10-27,Female,Offered
84,605,0,1,Mole,400.0,1910000.0,2021-11-12,Male,Offered
85,605,0,1,Cigarette,400.0,1910000.0,2021-11-12,Male,Offered
86,605,0,1,Clown Hair Green,400.0,1910000.0,2021-11-12,Male,Offered
87,605,0,1,Small Shades,400.0,1910000.0,2021-11-12,Male,Offered
88,605,0,1,Earring,400.0,1910000.0,2021-11-12,Male,Offered
89,616,0,1,Classic Shades,0.0,0.0,2021-09-17,Female,Offered
90,616,0,1,Hot Lipstick,0.0,0.0,2021-09-17,Female,Offered
91,616,0,1,Straight Hair Blonde,0.0,0.0,2021-09-17,Female,Offered
92,632,0,1,Peak Spike,127.0,490455.0,2021-10-16,Male,Offered
93,632,0,1,Clown Eyes Blue,127.0,490455.0,2021-10-16,Male,Offered
94,634,0,1,Frumpy Hair,634.0,1380000.0,2021-06-29,Male,Offered
95,634,0,1,Big Shades,634.0,1380000.0,2021-06-29,Male,Offered
96,635,0,1,Bandana,0.0,0.0,2021-11-10,Alien,Offered
97,635,0,1,Regular Shades,0.0,0.0,2021-11-10,Alien,Offered
98,643,0,1,Mohawk,111.11,447182.0,2021-12-21,Male,Offered
99,643,0,1,Smile,111.11,447182.0,2021-12-21,Male,Offered
100,643,0,1,Mustache,111.11,447182.0,2021-12-21,Male,Offered
101,648,0,1,Eye Patch,160.0,596093.0,2022-01-04,Male,Offered
