,id_cryptopunk,bids,for_sale,attribute
0,0,1,0,Earring
1,0,1,0,Blonde Bob
2,0,1,0,Green Eye Shadow
3,1,0,0,Smile
4,1,0,0,Mohawk
5,2,0,0,Wild Hair
6,3,0,0,Pipe
7,3,0,0,Wild Hair
8,3,0,0,Nerd Glasses
9,4,0,0,Big Shades
10,4,0,0,Earring
11,4,0,0,Goat
12,4,0,0,Wild Hair
13,5,1,0,Earring
14,5,1,0,Half Shaved
15,5,1,0,Purple Eye Shadow
16,6,0,0,Do-rag
17,7,1,0,Spots
18,7,1,0,Wild White Hair
19,7,1,0,Clown Eyes Blue
20,8,0,0,Messy Hair
21,8,0,0,Luxurious Beard
22,9,0,0,Big Beard
23,9,0,0,Police Cap
24,9,0,0,Clown Nose
25,10,0,0,Blue Eye Shadow
26,10,0,0,Mohawk
27,11,0,0,Clown Eyes Green
28,11,0,0,Straight Hair Dark
29,11,0,0,Black Lipstick
30,12,1,0,Purple Lipstick
31,12,1,0,Blonde Short
32,13,0,0,Straight Hair Blonde
33,13,0,0,Big Shades
34,13,0,0,Black Lipstick
35,14,1,1,Hot Lipstick
36,14,1,1,Pipe
37,14,1,1,Pilot Helmet
38,15,0,0,Luxurious Beard
39,15,0,0,Wild Hair
40,15,0,0,Regular Shades
41,16,0,0,Small Shades
42,16,0,0,Stringy Hair
43,16,0,0,Earring
44,17,1,0,Mohawk
45,17,1,0,Frown
46,18,0,0,Eye Mask
47,18,0,0,Muttonchops
48,19,0,0,Bandana
49,19,0,0,Horned Rim Glasses
50,19,0,0,Hot Lipstick
51,20,0,0,Crazy Hair
52,21,0,0,Messy Hair
53,21,0,0,Classic Shades
54,21,0,0,Earring
55,22,0,0,Purple Lipstick
56,22,0,0,Pilot Helmet
57,23,0,0,Handlebars
58,23,0,0,Do-rag
59,23,0,0,Earring
60,24,0,0,Mohawk Dark
61,24,0,0,Smile
62,25,0,0,Wild White Hair
63,26,0,0,Dark Hair
64,27,0,0,Earring
65,27,0,0,Peak Spike
66,28,0,0,Crazy Hair
67,28,0,0,Big Shades
68,29,0,0,Horned Rim Glasses
69,29,0,0,Earring
70,29,0,0,Half Shaved
71,30,0,0,Normal Beard Black
72,30,0,0,Cap
73,31,0,0,Stringy Hair
74,32,0,0,VR
75,32,0,0,Frown
76,33,0,0,Peak Spike
77,34,0,0,Frumpy Hair
78,34,0,0,Purple Lipstick
79,35,0,0,Horned Rim Glasses
80,35,0,0,Cigarette
81,35,0,0,Earring
82,35,0,0,Peak Spike
83,35,0,0,Normal Beard
84,36,0,0,Red Mohawk
85,37,0,0,Cap
86,37,0,0,Clown Eyes Blue
87,38,0,0,Frumpy Hair
88,38,0,0,Classic Shades
89,38,0,0,Purple Lipstick
90,39,0,0,Regular Shades
91,39,0,0,Frown
92,39,0,0,Shaved Head
93,40,0,0,Smile
94,40,0,0,Chinstrap
95,40,0,0,Bandana
96,41,0,0,Muttonchops
97,41,0,0,Clown Eyes Green
98,41,0,0,Wild Hair
99,42,1,0,Wild Hair
100,42,1,0,Cigarette
101,43,0,0,Half Shaved
102,44,0,0,Messy Hair
103,45,1,0,Mole
104,45,1,0,Earring
105,46,0,0,Purple Lipstick
106,46,0,0,Straight Hair Dark
107,47,0,0,Knitted Cap
108,48,1,0,Mohawk
109,48,1,0,Big Shades
110,49,1,0,Purple Eye Shadow
111,49,1,0,Bandana
112,50,0,0,Spots
113,50,0,0,Fedora
114,51,1,0,Earring
115,51,1,0,Muttonchops
116,51,1,0,Wild Hair
117,52,0,0,Knitted Cap
118,52,0,0,Shadow Beard
119,52,0,0,Nerd Glasses
120,52,0,0,Earring
121,53,0,0,Big Shades
122,53,0,0,Straight Hair
123,54,0,0,Hoodie
124,55,0,0,Eye Patch
125,56,0,0,Shaved Head
126,57,0,0,Headband
127,58,0,0,Hoodie
128,58,0,0,Normal Beard Black
129,59,0,0,Cowboy Hat
130,59,0,0,Muttonchops
131,60,1,0,Stringy Hair
132,60,1,0,Purple Lipstick
133,61,0,0,Dark Hair
134,62,0,0,Clown Eyes Blue
135,62,0,0,Mohawk Dark
136,62,0,0,Hot Lipstick
137,62,0,0,Earring
138,63,1,0,Earring
139,63,1,0,Shaved Head
140,63,1,0,Small Shades
141,64,0,0,Purple Lipstick
142,64,0,0,Straight Hair Blonde
143,65,0,0,Eye Mask
144,65,0,0,Headband
145,66,0,0,Tassle Hat
146,67,0,0,Half Shaved
147,67,0,0,3D Glasses
148,67,0,0,Purple Lipstick
149,68,0,0,Nerd Glasses
150,68,0,0,Do-rag
151,69,1,0,Fedora
152,69,1,0,Normal Beard Black
153,70,0,0,Crazy Hair
154,70,0,0,Regular Shades
155,70,0,0,Cigarette
156,70,0,0,Earring
157,71,0,0,Purple Lipstick
158,71,0,0,Half Shaved
159,71,0,0,Green Eye Shadow
160,72,0,0,Fedora
161,72,0,0,Normal Beard
162,72,0,0,Nerd Glasses
163,72,0,0,Earring
164,73,0,0,Black Lipstick
165,73,0,0,Earring
166,73,0,0,Bandana
167,74,1,0,Mohawk Dark
168,74,1,0,Shadow Beard
169,74,1,0,Earring
170,75,0,0,Knitted Cap
171,75,0,0,Eye Patch
172,75,0,0,Shadow Beard
173,76,1,0,Do-rag
174,76,1,0,Cigarette
175,77,0,0,Stringy Hair
176,77,0,0,Handlebars
177,78,0,0,Handlebars
178,78,0,0,Knitted Cap
179,78,0,0,Eye Patch
180,79,0,0,Mohawk Dark
181,79,0,0,Normal Beard
182,80,0,0,Mustache
183,80,0,0,Wild Hair
184,81,0,0,Small Shades
185,81,0,0,Headband
186,82,0,0,Headband
187,83,0,0,Small Shades
188,83,0,0,Vape
189,83,0,0,Shaved Head
190,84,0,0,Big Shades
191,84,0,0,Earring
192,84,0,0,Messy Hair
193,85,0,0,Crazy Hair
194,86,0,0,Knitted Cap
195,86,0,0,Green Eye Shadow
196,86,0,0,Hot Lipstick
197,86,0,0,Earring
198,87,0,0,Earring
199,87,0,0,Hoodie
200,88,1,0,Cap
201,88,1,0,Hot Lipstick
202,89,0,1,Choker
203,90,0,0,Hoodie
204,90,0,0,Eye Patch
205,91,0,0,Straight Hair
206,91,0,0,Clown Nose
207,92,0,0,Pink With Hat
208,92,0,0,Nerd Glasses
209,92,0,0,Purple Lipstick
210,93,0,0,Bandana
211,94,0,0,Regular Shades
212,94,0,0,Pink With Hat
213,94,0,0,Earring
214,95,0,0,Earring
215,95,0,0,Mohawk
216,96,0,0,Blonde Bob
217,97,0,0,Wild Hair
218,98,0,0,Black Lipstick
219,98,0,0,Welding Goggles
220,98,0,0,Dark Hair
221,99,1,0,Hoodie
222,99,1,0,Cigarette
223,100,0,0,Tassle Hat
224,101,0,0,Police Cap
225,101,0,0,Nerd Glasses
226,102,0,0,Vampire Hair
227,102,0,0,Luxurious Beard
228,103,0,0,Blonde Bob
229,103,0,0,Green Eye Shadow
230,103,0,0,Black Lipstick
231,104,0,0,Earring
232,104,0,0,Crazy Hair
233,104,0,0,Eye Patch
234,104,0,0,Normal Beard Black
235,105,1,0,Mohawk Thin
236,106,0,0,Straight Hair Blonde
237,107,0,0,Headband
238,108,0,0,Headband
239,108,0,0,Black Lipstick
240,109,0,0,Earring
241,109,0,0,Fedora
242,109,0,0,Handlebars
243,110,1,0,Mohawk Dark
244,110,1,0,Purple Lipstick
245,110,1,0,Cigarette
246,110,1,0,Earring
247,111,0,0,Handlebars
248,111,0,0,Knitted Cap
249,112,0,0,Bandana
250,112,0,0,Horned Rim Glasses
251,112,0,0,Earring
252,112,0,0,Big Beard
253,113,0,0,Mohawk
254,114,0,0,Red Mohawk
255,115,0,0,Half Shaved
256,115,0,0,Earring
257,116,0,0,Black Lipstick
258,116,0,0,Earring
259,116,0,0,Clown Eyes Blue
260,116,0,0,Tiara
261,117,0,0,Front Beard Dark
262,117,0,0,Messy Hair
263,118,0,0,Bandana
264,118,0,0,Black Lipstick
265,119,0,0,Earring
266,119,0,0,Cap
267,120,0,0,Big Shades
268,120,0,0,Tassle Hat
269,121,0,0,Tiara
270,121,0,0,Purple Lipstick
271,122,1,0,Cigarette
272,122,1,0,Mohawk
273,123,0,0,Spots
274,123,0,0,Wild White Hair
275,124,0,0,Normal Beard Black
276,124,0,0,Earring
277,124,0,0,Peak Spike
278,125,0,0,Tassle Hat
279,125,0,0,Big Shades
280,125,0,0,Purple Lipstick
