,id_cryptopunk,bids,for_sale,type
0,635,0,1,Alien
1,2890,0,0,Alien
2,3100,0,1,Alien
3,3443,0,0,Alien
4,5822,1,1,Alien
5,5905,0,0,Alien
6,6089,1,0,Alien
7,372,1,0,Ape
8,1021,1,0,Ape
9,2140,0,0,Ape
10,2243,0,0,Ape
11,2386,1,0,Ape
12,2460,1,0,Ape
13,2491,1,0,Ape
14,2711,1,0,Ape
15,2924,1,0,Ape
16,4156,0,0,Ape
17,4178,0,0,Ape
18,4464,0,1,Ape
19,5217,1,0,Ape
20,5314,0,0,Ape
21,5577,1,1,Ape
22,5795,0,0,Ape
23,6145,0,0,Ape
24,6915,1,0,Ape
25,6965,0,0,Ape
26,7191,0,0,Ape
27,117,0,0,Zombie
28,987,0,0,Zombie
29,1119,0,0,Zombie
30,1190,0,1,Zombie
31,1374,0,0,Zombie
32,1478,0,0,Zombie
33,1526,0,0,Zombie
34,1658,0,0,Zombie
35,1748,0,0,Zombie
36,1886,0,0,Zombie
37,1935,0,0,Zombie
38,2066,0,0,Zombie
39,2132,0,0,Zombie
40,2249,0,0,Zombie
41,2306,0,0,Zombie
42,2329,0,0,Zombie
43,2338,0,0,Zombie
44,2424,0,0,Zombie
45,2484,0,0,Zombie
46,2560,0,0,Zombie
47,2566,0,0,Zombie
48,2681,0,0,Zombie
49,2708,0,0,Zombie
50,2938,0,0,Zombie
51,2967,0,0,Zombie
52,3211,0,0,Zombie
53,3328,0,0,Zombie
54,3393,0,0,Zombie
55,3489,0,0,Zombie
56,3493,1,0,Zombie
57,3609,0,0,Zombie
58,3636,0,0,Zombie
59,3831,0,0,Zombie
60,4472,0,0,Zombie
61,4513,0,0,Zombie
62,4559,0,0,Zombie
63,4747,0,0,Zombie
64,4830,0,1,Zombie
65,4850,0,0,Zombie
66,4874,0,0,Zombie
67,5066,0,0,Zombie
68,5234,0,0,Zombie
69,5253,0,0,Zombie
70,5299,0,0,Zombie
71,5312,0,0,Zombie
72,5336,1,0,Zombie
73,5412,0,0,Zombie
74,5489,0,0,Zombie
75,5573,0,0,Zombie
76,5742,0,0,Zombie
77,5761,0,0,Zombie
78,5944,0,0,Zombie
79,6275,0,1,Zombie
80,6297,0,0,Zombie
81,6304,0,1,Zombie
82,6491,0,0,Zombie
83,6515,0,0,Zombie
84,6586,0,0,Zombie
85,6649,0,0,Zombie
86,6704,0,0,Zombie
87,6784,0,0,Zombie
88,7014,0,0,Zombie
89,7121,0,0,Zombie
90,7127,0,0,Zombie
91,7252,0,0,Zombie
92,0,1,0,Female
93,2,0,0,Female
94,5,1,0,Female
95,7,1,0,Female
96,10,0,0,Female
97,11,0,0,Female
98,12,1,0,Female
99,13,0,0,Female
100,14,1,1,Female
101,19,0,0,Female
102,22,0,0,Female
103,25,0,0,Female
104,26,0,0,Female
105,29,0,0,Female
106,31,0,0,Female
107,34,0,0,Female
108,36,0,0,Female
109,37,0,0,Female
110,38,0,0,Female
111,42,1,0,Female
112,43,0,0,Female
113,46,0,0,Female
114,49,1,0,Female
115,53,0,0,Female
116,60,1,0,Female
117,61,0,0,Female
118,62,0,0,Female
119,64,0,0,Female
120,65,0,0,Female
121,66,0,0,Female
122,67,0,0,Female
123,70,0,0,Female
124,71,0,0,Female
125,73,0,0,Female
126,85,0,0,Female
127,86,0,0,Female
128,88,1,0,Female
129,89,0,1,Female
130,91,0,0,Female
131,92,0,0,Female
132,93,0,0,Female
133,94,0,0,Female
134,96,0,0,Female
135,98,0,0,Female
136,100,0,0,Female
137,103,0,0,Female
138,106,0,0,Female
139,108,0,0,Female
140,110,1,0,Female
141,114,0,0,Female
142,115,0,0,Female
143,116,0,0,Female
144,118,0,0,Female
145,120,0,0,Female
146,121,0,0,Female
147,123,0,0,Female
148,125,0,0,Female
149,127,0,0,Female
150,131,0,0,Female
151,140,0,0,Female
152,150,0,0,Female
153,160,0,0,Female
154,161,0,0,Female
155,164,0,0,Female
156,167,0,0,Female
157,168,0,0,Female
158,169,0,0,Female
159,172,0,0,Female
160,173,0,0,Female
161,176,0,0,Female
162,180,0,0,Female
163,184,0,0,Female
164,185,0,0,Female
165,187,1,0,Female
166,189,0,0,Female
167,191,0,0,Female
168,193,0,0,Female
169,195,0,0,Female
170,196,0,0,Female
171,199,0,0,Female
172,200,0,0,Female
173,201,0,0,Female
174,202,0,0,Female
175,209,0,0,Female
176,210,0,0,Female
177,212,0,0,Female
178,213,0,0,Female
179,215,0,0,Female
180,219,0,0,Female
181,225,0,0,Female
182,226,1,0,Female
183,227,0,0,Female
184,231,0,0,Female
185,232,0,0,Female
186,233,0,0,Female
187,238,0,0,Female
188,240,0,0,Female
189,241,0,0,Female
190,242,0,0,Female
191,244,0,0,Female
192,245,0,0,Female
193,247,0,0,Female
194,248,0,0,Female
195,249,0,0,Female
196,250,0,0,Female
197,251,0,0,Female
198,253,0,0,Female
199,261,0,0,Female
200,262,0,0,Female
201,264,0,0,Female
202,268,0,0,Female
203,270,0,0,Female
204,275,0,0,Female
205,276,0,0,Female
206,277,0,0,Female
207,278,0,0,Female
208,279,1,0,Female
209,282,0,0,Female
210,283,0,0,Female
211,285,0,0,Female
212,287,0,0,Female
213,289,0,0,Female
214,290,0,0,Female
215,292,0,0,Female
216,298,0,0,Female
217,301,0,0,Female
218,302,0,0,Female
219,303,0,0,Female
220,305,0,0,Female
221,306,0,0,Female
222,313,0,0,Female
223,315,0,0,Female
224,316,0,0,Female
225,318,0,1,Female
226,319,0,0,Female
227,322,0,0,Female
228,324,0,0,Female
229,326,0,0,Female
230,329,0,0,Female
231,331,0,0,Female
232,333,0,0,Female
233,339,0,1,Female
234,341,0,1,Female
235,342,0,0,Female
236,345,0,0,Female
237,348,0,0,Female
238,350,0,0,Female
239,352,0,0,Female
240,353,0,0,Female
241,355,0,0,Female
242,357,0,0,Female
243,359,0,0,Female
244,368,0,0,Female
245,371,0,0,Female
246,374,0,1,Female
247,375,0,0,Female
248,376,0,0,Female
249,378,0,0,Female
250,379,0,0,Female
251,380,0,0,Female
252,381,0,0,Female
253,382,0,0,Female
254,383,0,0,Female
255,384,0,0,Female
256,385,0,0,Female
257,388,0,0,Female
258,390,0,0,Female
259,391,0,0,Female
260,394,0,0,Female
261,396,0,0,Female
262,400,1,0,Female
263,404,0,0,Female
264,405,0,0,Female
265,407,0,0,Female
266,409,0,0,Female
267,411,0,0,Female
268,413,0,0,Female
269,417,0,0,Female
270,418,0,0,Female
271,419,0,0,Female
272,422,0,1,Female
273,425,0,0,Female
274,427,0,0,Female
275,428,0,0,Female
276,430,0,0,Female
277,431,0,0,Female
278,438,0,0,Female
279,440,0,0,Female
280,443,0,0,Female
281,445,0,1,Female
282,446,0,1,Female
283,449,0,0,Female
284,460,0,0,Female
285,464,0,0,Female
286,466,0,0,Female
287,469,0,0,Female
288,471,0,0,Female
289,473,0,0,Female
290,474,0,0,Female
291,475,0,0,Female
292,477,0,0,Female
293,479,0,0,Female
294,481,0,0,Female
295,482,0,0,Female
296,486,0,0,Female
297,488,0,0,Female
298,490,0,0,Female
299,491,0,0,Female
300,493,0,0,Female
301,498,0,0,Female
302,499,0,0,Female
303,500,0,0,Female
304,501,0,0,Female
305,504,0,0,Female
306,507,0,1,Female
307,509,0,1,Female
308,514,1,0,Female
309,521,0,0,Female
310,522,0,0,Female
311,525,0,0,Female
312,527,0,0,Female
313,528,0,0,Female
314,529,0,0,Female
315,530,0,0,Female
316,532,0,0,Female
317,534,0,0,Female
318,537,0,0,Female
319,538,0,1,Female
320,545,0,0,Female
321,547,0,0,Female
322,548,0,0,Female
323,553,0,0,Female
324,554,0,0,Female
325,559,0,0,Female
326,560,0,0,Female
327,563,0,1,Female
328,566,0,0,Female
329,569,0,0,Female
330,571,0,0,Female
331,573,0,0,Female
332,575,0,0,Female
333,576,0,0,Female
334,579,0,0,Female
335,580,0,0,Female
336,581,0,0,Female
337,584,0,0,Female
338,585,0,0,Female
339,586,0,1,Female
340,588,0,1,Female
341,589,0,0,Female
342,590,0,0,Female
343,593,0,0,Female
344,596,0,0,Female
345,597,0,0,Female
346,598,0,0,Female
347,600,0,0,Female
348,601,0,0,Female
349,602,0,0,Female
350,603,0,0,Female
351,604,0,0,Female
352,606,0,0,Female
353,611,0,0,Female
354,614,0,0,Female
355,616,0,1,Female
356,618,0,0,Female
357,620,0,0,Female
358,628,0,0,Female
359,631,0,0,Female
360,637,1,0,Female
361,641,0,0,Female
362,642,0,0,Female
363,646,0,0,Female
364,647,0,0,Female
365,653,0,0,Female
366,654,0,0,Female
367,658,0,0,Female
368,659,0,0,Female
369,660,0,0,Female
370,664,0,0,Female
371,666,0,0,Female
372,667,0,0,Female
373,668,0,0,Female
374,669,0,0,Female
375,670,0,0,Female
376,671,0,0,Female
377,672,1,0,Female
378,675,0,0,Female
379,677,0,0,Female
380,682,0,0,Female
381,683,0,0,Female
382,684,0,0,Female
383,688,0,0,Female
384,689,0,0,Female
385,691,0,0,Female
386,695,0,0,Female
387,696,0,0,Female
388,697,0,0,Female
389,706,0,0,Female
390,707,0,0,Female
391,708,0,0,Female
392,712,0,0,Female
393,714,0,0,Female
394,717,0,0,Female
395,719,0,0,Female
396,721,0,0,Female
397,724,0,0,Female
398,727,0,0,Female
399,728,1,0,Female
400,729,0,0,Female
401,732,0,0,Female
402,733,0,0,Female
403,736,0,0,Female
404,737,0,0,Female
405,739,0,0,Female
406,744,0,0,Female
407,746,0,0,Female
408,749,0,0,Female
409,753,0,0,Female
410,755,0,0,Female
411,756,1,0,Female
412,757,0,0,Female
413,758,0,0,Female
414,759,0,0,Female
415,760,0,0,Female
416,761,0,0,Female
417,766,0,0,Female
418,767,0,0,Female
419,773,1,0,Female
420,776,0,0,Female
421,778,0,0,Female
422,780,1,0,Female
423,782,1,0,Female
424,789,1,0,Female
425,790,0,0,Female
426,795,1,0,Female
427,796,0,0,Female
428,813,0,0,Female
429,815,0,0,Female
430,818,0,0,Female
431,822,0,0,Female
432,825,0,0,Female
433,826,0,0,Female
434,828,0,0,Female
435,829,0,0,Female
436,830,0,0,Female
437,831,0,0,Female
438,832,0,0,Female
439,834,0,0,Female
440,835,0,0,Female
441,837,0,0,Female
442,838,0,0,Female
443,839,0,0,Female
444,843,0,0,Female
445,844,0,0,Female
446,845,0,0,Female
447,855,0,1,Female
448,857,0,0,Female
449,858,0,0,Female
450,861,0,0,Female
451,863,0,0,Female
452,865,0,0,Female
453,866,0,0,Female
454,867,0,1,Female
455,868,0,0,Female
456,870,0,0,Female
457,872,1,0,Female
458,874,0,0,Female
459,875,0,0,Female
460,876,0,0,Female
461,883,0,1,Female
462,884,0,0,Female
463,886,0,0,Female
464,888,0,1,Female
465,893,0,0,Female
466,894,0,0,Female
467,898,0,1,Female
468,901,0,0,Female
469,904,0,0,Female
470,907,0,1,Female
471,912,0,0,Female
472,914,0,0,Female
473,916,0,0,Female
474,917,0,0,Female
475,921,0,1,Female
476,922,0,0,Female
477,927,0,0,Female
478,929,0,0,Female
479,931,0,0,Female
480,934,0,0,Female
481,937,0,0,Female
482,944,0,0,Female
483,948,0,0,Female
484,949,0,0,Female
485,951,0,0,Female
486,952,0,0,Female
487,954,0,0,Female
488,960,0,0,Female
489,963,0,0,Female
