,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
2,100.0,18303.0,2018-09-12,0,Female,Offered
22,79.5,46842.0,2020-11-25,1,Male,Offered
31,667.0,2190000.0,2021-09-14,14,Female,Offered
54,129.99,326046.0,2021-08-03,53,Female,Offered
80,890.0,1590000.0,2021-03-16,89,Female,Offered
81,60.0,188504.0,2021-08-12,111,Male,Offered
90,348.0,1130000.0,2021-08-11,116,Female,Offered
97,27.0,91357.0,2021-05-04,118,Female,Offered
101,17.0,43790.0,2021-06-09,124,Male,Offered
115,57.99,184964.0,2021-08-22,138,Male,Offered
122,87.9,272080.0,2021-08-26,139,Male,Offered
129,39.5,164158.0,2021-05-14,141,Male,Offered
133,199.99,481260.0,2021-06-13,143,Male,Offered
135,128.0,384118.0,2021-10-01,150,Female,Offered
143,850.0,3490000.0,2021-12-26,155,Male,Offered
154,53.0,128959.0,2021-04-15,160,Female,Offered
171,83.97,261307.0,2021-08-27,161,Female,Offered
172,25.0,29367.0,2021-01-06,168,Female,Offered
188,56.0,100919.0,2021-07-20,169,Female,Offered
189,18.0,6834.0,2020-10-13,172,Female,Offered
191,99.9,244195.0,2021-07-31,173,Female,Offered
202,57.0,172092.0,2021-08-09,186,Male,Offered
203,16.0,23326.0,2021-02-02,195,Female,Offered
224,66.2,159257.0,2022-01-22,197,Male,Offered
235,128.88,440219.0,2021-10-05,203,Male,Offered
243,104.8,396126.0,2021-10-18,211,Male,Offered
244,2.9,627.0,2017-07-21,226,Female,Offered
251,124.95,437279.0,2021-10-12,229,Male,Offered
252,100.0,180583.0,2021-03-11,235,Male,Offered
253,32.0,89018.0,2021-05-27,237,Male,Offered
263,23.95,57437.0,2021-07-30,239,Male,Offered
332,100.0,229941.0,2021-07-29,240,Female,Offered
333,5.0,719.0,2020-01-08,241,Female,Offered
337,49.0,119700.0,2021-07-31,242,Female,Offered
357,178.99,580148.0,2021-08-28,246,Male,Offered
358,0.95,229.0,2017-07-07,249,Female,Offered
378,81.0,333397.0,2021-12-10,252,Male,Offered
385,62.0,173519.0,2021-08-06,258,Male,Offered
402,159.0,537539.0,2021-10-03,259,Male,Offered
434,450.0,1460000.0,2021-08-27,260,Male,Offered
436,107.0,355160.0,2021-08-23,263,Male,Offered
437,870.0,1840000.0,2021-04-10,264,Female,Offered
452,265.0,855627.0,2021-08-28,273,Male,Offered
453,1.2,260.0,2017-07-21,280,Male,Offered
456,27.49,44178.0,2021-03-03,283,Female,Offered
468,31.99,56160.0,2021-03-13,285,Female,Offered
483,200.0,650250.0,2021-08-28,286,Male,Offered
492,30.0,44454.0,2021-03-05,287,Female,Offered
496,29.0,71554.0,2021-07-31,291,Male,Offered
506,12.0,14478.0,2021-01-17,294,Male,Offered
509,13.66,52147.0,2021-05-13,299,Male,Offered
513,84.69,206259.0,2022-01-25,300,Male,Offered
517,46.5,151271.0,2021-08-11,307,Male,Offered
526,84.95,350522.0,2021-12-06,308,Male,Offered
