,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
2,25.0,2822.0,2018-11-30,0,Female,Sold
5,60.0,36305.0,2020-11-30,1,Male,Sold
8,2.5,234.0,2018-12-07,14,Female,Sold
9,0.51,105.0,2017-07-10,33,Male,Sold
12,129.99,432676.0,2021-08-23,53,Female,Sold
15,19.99,6898.0,2020-09-06,89,Female,Sold
17,2.4,456.0,2017-07-17,116,Female,Sold
19,20.45,69259.0,2021-05-04,118,Female,Sold
22,17.0,41859.0,2021-06-10,124,Male,Sold
28,57.99,194425.0,2021-08-23,138,Male,Sold
32,87.9,275193.0,2021-08-27,139,Male,Sold
34,39.5,86752.0,2021-07-27,141,Male,Sold
37,180.0,418676.0,2021-07-04,143,Male,Sold
39,138.99,457370.0,2021-10-02,150,Female,Sold
42,25.0,32621.0,2021-01-31,155,Male,Sold
45,53.0,127403.0,2021-04-21,160,Female,Sold
49,77.0,240179.0,2021-08-27,161,Female,Sold
50,25.0,29367.0,2021-01-06,168,Female,Sold
54,56.0,137731.0,2021-07-31,169,Female,Sold
56,99.9,333842.0,2021-08-23,173,Female,Sold
57,21.5,42233.0,2021-07-15,186,Male,Sold
58,16.0,26201.0,2021-02-05,195,Female,Sold
64,0.0,0.0,2022-01-22,197,Male,Sold
68,128.88,436925.0,2021-10-05,203,Male,Sold
70,104.8,405112.0,2021-10-20,211,Male,Sold
72,124.95,436252.0,2021-10-12,229,Male,Sold
76,23.95,57982.0,2021-07-30,239,Male,Sold
82,44.0,101034.0,2021-07-28,240,Female,Sold
83,5.0,719.0,2020-01-08,241,Female,Sold
84,0.95,229.0,2017-07-07,249,Female,Sold
87,70.0,279717.0,2021-12-10,252,Male,Sold
90,34.0,83130.0,2021-07-31,258,Male,Sold
95,143.0,483447.0,2021-10-03,259,Male,Sold
100,175.0,484538.0,2021-08-06,260,Male,Sold
101,107.0,344382.0,2021-08-25,263,Male,Sold
102,8.7,11417.0,2021-01-27,264,Female,Sold
107,265.0,1030000.0,2021-10-19,273,Male,Sold
109,0.25,188.0,2017-12-26,280,Male,Sold
110,1.1,304.0,2017-07-03,281,Male,Sold
112,27.49,48775.0,2021-03-12,283,Female,Sold
114,31.99,61118.0,2021-03-13,285,Female,Sold
116,55.5,162057.0,2021-08-06,286,Male,Sold
120,22.0,32377.0,2021-03-05,287,Female,Sold
122,29.0,70905.0,2021-07-31,291,Male,Sold
126,12.0,17182.0,2021-01-25,294,Male,Sold
127,12.77,47846.0,2021-05-13,299,Male,Sold
128,69.69,262390.0,2022-01-01,300,Male,Sold
129,46.5,151271.0,2021-08-11,307,Male,Sold
131,73.5,291644.0,2021-12-06,308,Male,Sold
133,148.0,459917.0,2021-09-27,312,Male,Sold
135,27.5,56756.0,2021-04-08,318,Female,Sold
137,16.0,21298.0,2021-01-19,322,Female,Sold
140,52.0,172428.0,2021-08-14,328,Male,Sold
143,24.9,37680.0,2021-02-27,329,Female,Sold
145,15.25,41213.0,2021-05-26,332,Male,Sold
148,88.0,370162.0,2021-12-05,335,Male,Sold
149,26.99,70861.0,2021-05-19,338,Male,Sold
154,239.0,775701.0,2021-08-28,339,Female,Sold
158,140.0,523600.0,2021-12-30,340,Male,Sold
160,125.0,405701.0,2021-08-28,341,Female,Sold
163,119.9,389211.0,2021-08-28,342,Female,Sold
164,15.0,3004.0,2020-05-14,344,Male,Sold
165,0.47,90.0,2017-07-11,346,Male,Sold
168,57.69,236713.0,2021-12-24,349,Male,Sold
170,27.99,68910.0,2021-07-31,352,Female,Sold
176,100.0,324064.0,2021-08-27,353,Female,Sold
177,360.0,1520000.0,2021-10-26,364,Male,Sold
180,39.89,107304.0,2021-08-05,365,Male,Sold
186,70.0,234630.0,2021-08-23,368,Female,Sold
189,29.9,72756.0,2021-05-24,376,Female,Sold
192,40.0,99468.0,2021-08-03,381,Female,Sold
194,130.0,495197.0,2021-05-08,382,Female,Sold
195,39.7,105043.0,2021-04-27,383,Female,Sold
197,48.2,87099.0,2021-03-16,384,Female,Sold
201,96.96,303294.0,2022-01-20,385,Female,Sold
203,140.0,516505.0,2021-12-31,387,Male,Sold
205,114.9,506133.0,2021-11-06,399,Male,Sold
206,0.95,229.0,2017-07-07,404,Female,Sold
211,315.0,1020000.0,2021-08-28,406,Male,Sold
213,90.0,200556.0,2021-04-24,407,Female,Sold
214,27.0,62862.0,2021-04-25,410,Male,Sold
215,24.99,46360.0,2021-02-22,411,Female,Sold
216,65.0,116217.0,2021-03-22,416,Male,Sold
217,105.0,261892.0,2022-01-25,418,Female,Sold
219,115.0,366880.0,2021-08-27,422,Female,Sold
221,107.5,318572.0,2021-09-30,423,Male,Sold
225,19.95,41001.0,2021-04-03,426,Male,Sold
227,34.4,88956.0,2021-08-02,430,Female,Sold
228,26.99,47886.0,2021-02-23,431,Female,Sold
229,145.0,466768.0,2021-08-29,432,Male,Sold
233,50.0,138119.0,2021-08-06,435,Male,Sold
245,0.0,0.0,2022-01-17,441,Male,Sold
248,145.0,551323.0,2022-01-02,445,Female,Sold
250,24.99,48554.0,2021-02-21,446,Female,Sold
254,30.0,73766.0,2021-07-31,447,Male,Sold
262,36.95,91933.0,2021-08-04,449,Female,Sold
263,70.0,169793.0,2021-04-15,453,Male,Sold
265,112.0,342578.0,2022-01-20,457,Male,Sold
266,2.5,351.0,2019-03-27,460,Female,Sold
267,14.0,18438.0,2021-01-27,465,Male,Sold
269,17.9,31841.0,2021-03-11,470,Male,Sold
270,14.99,28726.0,2021-02-18,471,Female,Sold
272,29.99,68767.0,2021-07-29,473,Female,Sold
273,135.0,451532.0,2021-08-23,480,Male,Sold
281,81.5,254267.0,2021-08-27,483,Male,Sold
282,16.0,20380.0,2021-01-28,485,Male,Sold
286,40.0,82555.0,2021-04-08,486,Female,Sold
288,24.99,44337.0,2021-02-23,488,Female,Sold
294,73.5,301063.0,2021-12-24,489,Male,Sold
296,102.5,427837.0,2021-12-05,490,Female,Sold
301,110.0,312947.0,2021-09-28,494,Male,Sold
302,90.0,216158.0,2022-01-23,496,Male,Sold
306,22.99,52563.0,2021-07-29,497,Male,Sold
308,125.0,305549.0,2021-07-31,501,Female,Sold
310,94.5,324616.0,2021-09-10,503,Male,Sold
311,0.65,173.0,2017-07-06,504,Female,Sold
313,51.0,160296.0,2021-08-19,505,Male,Sold
318,31.0,73659.0,2021-04-14,506,Male,Sold
319,27.99,48154.0,2021-02-23,507,Female,Sold
323,23.0,48442.0,2021-04-12,509,Female,Sold
325,21.55,2937.0,2020-01-09,510,Male,Sold
329,159.99,397658.0,2021-08-04,512,Male,Sold
330,0.6,115.0,2017-07-28,516,Male,Sold
331,28.0,47525.0,2021-03-27,518,Male,Sold
334,35.0,62898.0,2021-03-16,522,Female,Sold
335,30.0,71472.0,2021-04-21,526,Male,Sold
336,22.0,45592.0,2021-07-23,531,Male,Sold
340,104.95,439657.0,2021-12-06,534,Female,Sold
341,18.0,33057.0,2021-03-30,535,Male,Sold
342,167.0,554315.0,2021-08-23,536,Male,Sold
343,120.0,391166.0,2021-08-27,537,Female,Sold
345,25.0,51899.0,2021-04-09,538,Female,Sold
347,5.5,1994.0,2020-09-13,544,Male,Sold
348,20.24,38961.0,2021-02-21,547,Female,Sold
358,0.0,0.0,2022-01-25,548,Female,Sold
359,0.75,154.0,2017-07-10,549,Male,Sold
361,74.99,183351.0,2021-07-31,550,Male,Sold
364,49.88,156775.0,2021-08-19,551,Male,Sold
365,59.0,139186.0,2021-04-14,553,Female,Sold
366,71.45,266633.0,2022-01-02,555,Male,Sold
369,500.0,2380000.0,2021-11-08,561,Male,Sold
371,95.0,300693.0,2021-08-11,563,Female,Sold
374,72.99,271626.0,2021-12-29,564,Male,Sold
375,39.0,84435.0,2021-04-13,568,Male,Sold
377,64.99,217895.0,2021-08-23,570,Male,Sold
380,288.88,987993.0,2021-10-04,573,Female,Sold
381,28.8,64202.0,2021-04-24,577,Male,Sold
383,25.5,61243.0,2021-04-16,578,Male,Sold
384,23.0,43730.0,2021-07-16,583,Male,Sold
390,63.99,214279.0,2021-08-23,586,Female,Sold
392,75.0,141498.0,2021-07-17,588,Female,Sold
393,16.99,33331.0,2021-02-21,589,Female,Sold
395,21.0,37224.0,2021-03-13,591,Male,Sold
397,70.0,127019.0,2021-03-08,593,Female,Sold
400,77.77,312849.0,2021-12-10,596,Female,Sold
401,19.99,36195.0,2021-03-30,599,Male,Sold
403,8.0,10499.0,2021-01-27,604,Female,Sold
404,50.0,96553.0,2021-02-21,605,Male,Sold
405,18.0,39885.0,2021-07-04,607,Male,Sold
409,200.0,651598.0,2021-08-29,608,Male,Sold
415,220.0,693330.0,2021-09-23,610,Male,Sold
419,79.0,253746.0,2021-08-25,613,Male,Sold
420,29.99,54791.0,2021-03-20,615,Male,Sold
426,100.0,282605.0,2021-08-05,616,Female,Sold
428,59.9,146266.0,2021-07-30,617,Male,Sold
434,97.25,381146.0,2021-09-04,618,Female,Sold
440,47.0,142061.0,2021-08-12,620,Female,Sold
441,130.0,580362.0,2021-11-25,621,Male,Sold
445,119.9,389825.0,2021-08-28,622,Male,Sold
449,130.0,342878.0,2021-04-27,627,Male,Sold
453,109.88,320828.0,2021-09-24,628,Female,Sold
455,50.0,158687.0,2021-08-09,632,Male,Sold
460,69.99,265826.0,2022-01-03,636,Male,Sold
464,180.0,442674.0,2021-07-31,638,Male,Sold
475,148.0,477756.0,2021-08-28,639,Male,Sold
476,0.55,157.0,2017-06-27,641,Female,Sold
482,168.0,639475.0,2021-12-31,642,Female,Sold
486,99.0,320355.0,2021-08-27,643,Male,Sold
489,80.0,199522.0,2021-08-04,648,Male,Sold
491,149.99,514826.0,2021-08-31,650,Male,Sold
495,100.0,378319.0,2021-09-02,660,Female,Sold
499,87.0,374893.0,2021-11-21,661,Male,Sold
500,6.0,1239.0,2020-05-27,665,Male,Sold
501,23.99,41879.0,2021-03-12,668,Female,Sold
505,0.0,0.0,2021-07-30,669,Female,Sold
506,14.99,30004.0,2021-02-20,675,Female,Sold
508,19.5,36039.0,2021-03-14,678,Male,Sold
510,0.0,0.0,2021-07-30,680,Male,Sold
514,23.99,43965.0,2021-03-20,682,Female,Sold
515,159.0,600918.0,2021-12-14,684,Female,Sold
516,26.0,46188.0,2021-03-16,685,Male,Sold
519,105.0,322124.0,2021-08-19,686,Male,Sold
520,0.29,74.0,2017-09-16,688,Female,Sold
522,65.69,254015.0,2021-12-15,690,Male,Sold
523,75.0,182659.0,2022-01-25,695,Female,Sold
526,220.0,716672.0,2021-08-20,698,Male,Sold
527,74.87,182343.0,2022-01-25,700,Male,Sold
536,88.88,278080.0,2021-08-27,702,Male,Sold
538,107.0,334249.0,2021-08-26,703,Male,Sold
544,90.5,220580.0,2022-01-25,704,Male,Sold
545,5.0,633.0,2020-01-03,706,Female,Sold
546,160.0,547901.0,2021-10-03,707,Female,Sold
552,127.0,410055.0,2021-08-28,709,Male,Sold
555,120.0,446144.0,2021-09-01,713,Male,Sold
558,0.0,0.0,2021-08-02,715,Male,Sold
560,129.99,550115.0,2021-11-17,716,Male,Sold
566,21.2,37801.0,2021-07-21,717,Female,Sold
568,83.99,205738.0,2022-01-26,718,Male,Sold
569,2.25,325.0,2019-03-29,719,Female,Sold
570,40.0,61762.0,2021-03-01,721,Female,Sold
573,25.0,61047.0,2021-07-30,729,Female,Sold
575,24.5,70936.0,2021-05-02,730,Male,Sold
577,134.99,451104.0,2021-08-23,735,Male,Sold
579,89.99,414668.0,2021-11-14,740,Male,Sold
580,1.5,404.0,2017-07-04,741,Male,Sold
581,0.25,340.0,2018-01-14,742,Male,Sold
586,0.0,0.0,2021-07-30,743,Male,Sold
587,69.0,136189.0,2021-02-19,744,Female,Sold
589,45.0,127172.0,2021-08-05,749,Female,Sold
594,113.0,334838.0,2021-09-24,750,Male,Sold
598,140.0,441811.0,2021-09-23,751,Male,Sold
599,84.77,210142.0,2022-01-25,753,Female,Sold
600,1.4,415.0,2017-08-13,755,Female,Sold
605,41.99,126583.0,2021-08-18,759,Female,Sold
606,70.0,154729.0,2021-04-13,762,Male,Sold
607,32.0,64183.0,2021-02-20,765,Male,Sold
614,84.0,288646.0,2022-01-06,769,Male,Sold
615,24.0,42653.0,2021-02-17,772,Male,Sold
620,68.0,215958.0,2021-08-11,773,Female,Sold
622,84.0,265611.0,2021-08-27,774,Male,Sold
624,18.99,13746.0,2020-12-30,777,Male,Sold
628,99.98,277165.0,2021-08-06,782,Female,Sold
631,150.0,396240.0,2021-08-05,784,Male,Sold
636,90.95,376062.0,2021-12-09,793,Male,Sold
